title,author,pub
Under the persimmon tree /,"Staples, Suzanne Fisher.","New York : Farrar, Straus and Giroux, 2005"
The Judas Gate /,"Higgins, Jack, 1929-","New York : G.P. Putnam's Sons, 2010"
The Cuckoo's Calling /,"Galbraith, Robert.","New York : Mulholland Books / Little, Brown and Company, 2013"
Dead zero : a Bob Lee Swagger novel /,"Hunter, Stephen, 1946-","New York : Simon & Schuster, 2010"
The shadow patrol /,"Berenson, Alex.","New York : G. P. Putnam's Sons, 2012"
The mullah's storm /,"Young, Thomas W., 1962-","New York : G.P. Putnam's Sons, 2010"
The watch : a novel /,"Roy-Bhattacharya, Joydeep.","New York : Hogarth, 2012"
Silent enemy /,"Young, Thomas W., 1962-","New York : G. P. Putnam's Sons, 2011"
Don't go /,"Scottoline, Lisa.","Detroit : Thorndike Press, a part of Gale, Cengage Learning, 2013"
Sea Glass Island /,"Woods, Sherryl.","Don Mills, Ont. : Harlequin Mira, 2013"
The renegades /,"Young, Thomas W., 1962-","New York : G.P. Putnam's Sons, 2012"
Something like normal /,"Doller, Trish.","New York : Bloomsbury Pub. Children's Books, 2012"
The literature of Australia : an anthology /,"Jose, Nicholas,","New York : W.W. Norton & Co., 2009"
Wanting Mor /,"Khan, Rukhsana, 1962-","Toronto : Groundwood Books, 2009"
Hold it 'til it hurts : a novel /,"Johnson, T. Geronimo","Minneapolis [Minn.] : Coffee House Press, 2012"
Dead zero : a Bob Lee Swagger novel /,"Hunter, Stephen, 1946-","Thorndike, Me. : Center Point Pub., 2011"
Lipstick in Afghanistan /,"Gately, Roberta.","New York : Gallery Books, 2010"
Thunder over Kandahar /,"McKay, Sharon E.; Gerszak, Rafal.","Toronto : Annick Press, 2010"
The shadow patrol : [a novel] /,"Berenson, Alex.","Detroit [MI] : Wheeler Pub., 2012"
Operation Oleander /,"Patterson, Valerie O.","Boston : Clarion Books, 2013"
The warriors /,"Young, Thomas W., 1962-","New York : G.P. Putnam's Sons, 2013"
Abide with me /,"Willett, Sabin.","New York : Simon & Schuster Paperbacks, 2013"
