title,author,pub
Silent music : a story of Baghdad /,"Rumford, James, 1948-","New York : Roaring Brook Press, 2008"
Sunrise over Fallujah /,"Myers, Walter Dean, 1937-","New York : Scholastic Press, 2008"
Saturday : [a novel] /,"McEwan, Ian.","New York : Nan A. Talese/Doubleday, 2005"
Purple Heart /,"McCormick, Patricia, 1956-","New York : Balzer + Bray, 2009"
The navigator : a novel from the NUMA files /,"Cussler, Clive.; Kemprecos, Paul.","New York : G.P. Putnam's Sons, 2007"
Betrayal : a novel /,"Lescroart, John T.","New York : Dutton, 2008"
Home front /,"Hannah, Kristin.","New York : St. Martin's Press, 2012"
Bleeding Kansas /,"Paretsky, Sara.","New York : G.P. Putnam's Sons, 2008"
In the name of honor : a novel /,"Patterson, Richard North.","New York : Henry Holt, 2010"
The yellow birds : a novel /,"Powers, Kevin.","New York : Little, Brown and Co., 2012"
Billy Lynn's long halftime walk /,"Fountain, Ben, author.","New York : Ecco, 2012"
Ever after /,"Kingsbury, Karen.","Grand Rapids, Mich. : Zondervan, 2007"
Man in the middle /,"Haig, Brian.","New York : Warner Books, 2007"
Heart of a shepherd /,"Parry, Rosanne.","New York : Random House Children's Books, 2009"
Home for Christmas /,"Greeley, Andrew M., 1928-2013.","New York : Forge, 2009"
The chameleon's shadow /,"Walters, Minette.","New York : Knopf,  2008, 2007"
One was a soldier /,"Spencer-Fleming, Julia.","New York : Minotaur Books, 2011"
"Somebody, please tell me who I am /","Mazer, Harry.; Lerangis, Peter.","New York : Simon & Schuster BFYR, 2012"
A dangerous age : a novel /,"Gilchrist, Ellen, 1935-","Chapel Hill, N.C : Algonquin Books of Chapel Hill, 2008"
At the city's edge /,"Sakey, Marcus.","New York : St. Martin's Minotaur, 2008"
Alia's mission : saving the books of Iraq : inspired by a true story /,"Stamaty, Mark Alan.","New York : Alfred A. Knopf : Distributed by Random House, 2004"
Alice Bliss /,"Harrington, Laura, 1953-","New York : Pamela Dorman Books/Viking, 2011"
The wrong man /,"Ellis, David, 1967-","New York : G.P. Putnam's Sons, 2012"
In the name of honor /,"Patterson, Richard North.","Waterville, Me. : Thorndike Press, 2010"
Bleeding Kansas /,"Paretsky, Sara.","Waterville, Me. : Thorndike Press, 2008"
The navigator : a novel from the Numa files /,"Cussler, Clive.; Kemprecos, Paul.","Waterville, Me. : Wheeler Pub., 2007"
Fobbit : [a novel] /,"Abrams, David, 1963-","New York : Black Cat, 2012"
Paradise valley /,"Carr, Robyn.","Don Mills, Ont. : Mira, 2009"
