title,author,pub
"[Collection of three Esquire issues containing short-stories by William S. Burroughs].  Publication:  New York : Esquire,  1968-1970   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","[Collection of three Esquire issues containing short-stories by William S. Burroughs].  Publication:  New York : Esquire,  1968-1970   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","New York : Esquire,  1968-1970"
Three short stories and an essay /,"Aadland, Daniel Arthur, 1944-","1971 Dissertation:  Thesis (M.A.)--University of Utah, 1971."
No one said it would be easy /,"Abbott, Gregory L.; Barry, Jan,; Abbott, Gregory L.",1975
The heart never fits its wanting : stories /,"Abbott, Lee K.","Cedar Falls [Iowa] : North American Review, 1980"
"Abused Vietnamese virgins.  Publication:  New York, N.Y. : Star Distributors, 1984   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Abused Vietnamese virgins.  Publication:  New York, N.Y. : Star Distributors, 1984   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","New York, N.Y. : Star Distributors, 1984"
"Adam 1963 yearbook.  Publication:  Los Angeles, Calif. : Knight Pub., 1965   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Adam 1963 yearbook.  Publication:  Los Angeles, Calif. : Knight Pub., 1965   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Los Angeles, Calif. : Knight Pub., 1965"
Shadow cast /,"Aloi, Frank.","[Parthenon, N.J.?] : 20th Century Parthenon Books ; Rochester, N.Y. (634 South Ave., Rochester, N.Y.) : distributed by Manson News, 1984"
Cannonball catchers /,"Amidon, Bill.","New York, N.Y. : Grove Press, 1970   In:  Evergreen review no. 76 (March 1970)"
Cooks & bakers : a novel of the Vietnam War /,"Anderson, Robert A.","New York : Avon, 1982"
The gooney bird : a novel /,"Anderson, William C., 1920-2003.","New York : Crown Publishers, 1968"
The gooney bird : a wacky novel about the daffiest DC-3 in the U.S. Air Force /,"Anderson, William C., 1920-2003.","New York : Paperback Library, 1969"
The gooney bird /,"Anderson, William C., 1920-2003.",New York Paperback Library 1969
The gooney bird : a wacky novel about the daffiest DC-3 in the U.S. Air Force /,"Anderson, William C., 1920-2003.","[S.l. : s.n., 1966"
Hon TH^at; novel.,Anh THuc.,"Hanoi, Foreign Languages Pub. House, 1969"
Hn at; novel.,Anh uc.,"Hanoi, Foreign Languages Pub. House, 1969"
Hon Dat; roman.,Anh uc.,"Hanoi, Editions en Langues Etrangeres, 1968"
The ivory comb /,Anh uc.,"South Viet Nam : Giai Phong Pub. House, 1968"
The Ivory comb /,Anh-Duc.,"South Viet Nam : Giai Phong Pub. House, 1968"
"Hon Dat : novel ; Nguyen Dinh Chieu Prize in literature and art South Viet Nam, 1960-1965 /","Anh-uc; Friend, Robert C.",Hanoi Foreign Languages Publ. House 1969
Saigon /,"Arden, William, 1924-2005.","New York : Award Books, 1964"
Hanoi /,"Arden, William, 1924-2005.","New York : Award Books ; London : Tandem Books, 1966"
The vulcan disaster /,"Arden, William, 1924-2005.","New York : Award Books, 1976"
Year of the monkey /,"Argo, Ronald.","1981 Dissertation:  Thesis (M.A.)--San Diego State University, 1981."
"from Vietnam-superfiction : ""scatter-excerpts"" /","Arias-Mission, Alain.","Madison, N.J. : Stone Country Press, 1982   In:  Stone country v. 10, no. 1 & 2 (fall/winter 1982/83)"
"Guam interlude,","Arnhym, Albert A.","New York, Pageant Press 1968"
The land of a million elephants.,"Baber, Asa, 1936-","New York, Morrow, 1970"
Little brother /,"Baillie, Allan, 1943-","[Sydney? Australia] : Thomas Nelson Australia, 1985"
Little brother /,"Baillie, Allan, 1943-","[Sydney? Australia] : Thomas Nelson Australia, 1985"
NAM : the Vietnam war in the words of the men and women who fought there /,"Baker, Mark.","New York : Berkeley Books,  1983, 1981"
A shattered visage /,"Baker, Richard E.","Tacoma, Wash. : Vardaman Press, 1982"
The Judas diary /,"Baker, William Howard.","New York : Lancer Books, 1969"
The Lone Wolf : Havana hit /,"Barry, Mike, 1939-","New York, N.Y. : Berkley, 1974"
"The sky suspended,","Bassett, James E.",[New York] Delacorte Press 1968
On the way home /,"Bausch, Robert.","New York : St Martin's Press, 1982"
On the way home /,"Bausch, Robert.","New York : Avon Books,  1983, 1982"
On the way home /,"Bausch, Robert.","New York : St Martin's Press, 1982"
Don't tread on my tire rubber sandals : a tale of Vietnam /,"Beatty, David L.","[S.l. : s.n.], 1969"
[Collection of five Evergreen Review issues containing three short stories and one article by William S. Burroughs].,"Beckett, Samuel,; Burroughs, William S.,, and others","New York : Evergreen Review,  1964-1971"
