Position,Region,Name, VolInBill ,NumProps,Prop Type
Buyer,US,EQUITY RESIDENTIAL, 9.10 ,86,All
Buyer,US,SPIRIT REALTY CAPITAL, 7.46 ,376,All
Buyer,US,BLACKSTONE, 7.09 ,340,All
Buyer,US,AVALONBAY COMMUNITIES, 6.09 ,77,All
Buyer,US,AMERICAN REALTY CAPI..., 5.16 ,388,All
Buyer,US,ESSEX PROPERTY TRUST, 4.79 ,82,All
Buyer,US,JP MORGAN, 4.46 ,36,All
Buyer,US,REALTY INCOME CORP, 3.66 ,634,All
Buyer,US,STARWOOD CAPITAL GROUP, 3.55 ,165,All
Buyer,US,INVESCO RE, 3.12 ,41,All
Buyer,US,CAISSE DE DEPOT, 3.11 ,31,All
Buyer,US,CALPERS, 3.01 ,19,All
Buyer,US,METLIFE, 2.93 ,29,All
Buyer,US,COLE RE INVESTMENTS, 2.88 ,76,All
Buyer,US,LONE STAR, 2.82 ,68,All
Buyer,US,GIC (GOVT OF SINGAPO..., 2.80 ,5,All
Buyer,US,BROOKFIELD ASSET MGMT, 2.79 ,104,All
Buyer,US,NORGES BANK INVT MGMT, 2.65 ,12,All
Buyer,US,ARCP, 2.57 ,99,All
Buyer,US,GREYSTAR RE PARTNERS, 2.52 ,55,All
Seller,US,LEHMAN BROS HOLDINGS, 33.93 ,404,All
Seller,US,BLACKSTONE, 8.37 ,134,All
Seller,US,COLE RE INVESTMENTS, 7.55 ,378,All
Seller,US,EQUITY RESIDENTIAL, 4.67 ,94,All
Seller,US,BRE PROPERTIES, 4.53 ,83,All
Seller,US,FORTRESS, 4.25 ,190,All
Seller,US,INLAND REAL ESTATE G..., 4.16 ,585,All
Seller,US,GE CAPITAL, 3.51 ,118,All
Seller,US,JP MORGAN, 3.45 ,115,All
Seller,US,HINES, 3.38 ,13,All
Seller,US,GOLDMAN SACHS, 3.16 ,27,All
Seller,US,BEACON CAPITAL PARTN..., 3.05 ,12,All
Seller,US,INVESCO RE, 3.00 ,89,All
Seller,US,CARLYLE GROUP, 2.82 ,24,All
Seller,US,COLONIAL PROPERTIES ..., 2.69 ,128,All
Seller,US,AR CAPITAL TRUST, 2.66 ,510,All
Seller,US,CBRE, 2.19 ,37,All
Seller,US,CAPLEASE, 2.16 ,59,All
Seller,US,WESTFIELD, 2.09 ,14,All
Seller,US,BROOKFIELD ASSET MGMT, 1.97 ,26,All
Buyer,Global,BLACKSTONE, 14.87 ,873,All
Buyer,Global,GREENLAND GROUP, 10.41 ,114,All
Buyer,Global,CHINA VANKE, 10.33 ,67,All
Buyer,Global,EQUITY RESIDENTIAL, 9.10 ,86,All
Buyer,Global,SPIRIT REALTY CAPITAL, 7.47 ,377,All
Buyer,Global,POLY REAL ESTATE GROUP, 7.17 ,59,All
Buyer,Global,NORGES BANK INVT MGMT, 6.56 ,102,All
Buyer,Global,PATRIZIA IMMOBILIEN AG, 6.45 ,151,All
Buyer,Global,GIC (GOVT OF SINGAPO..., 6.36 ,24,All
Buyer,Global,AVALONBAY COMMUNITIES, 6.09 ,77,All
Buyer,Global,STARWOOD CAPITAL GROUP, 6.00 ,211,All
Buyer,Global,EVERGRANDE RE GROUP, 5.76 ,44,All
Buyer,Global,SHIMAO GROUP, 5.69 ,39,All
Buyer,Global,CHINA OVERSEAS L&I, 5.56 ,30,All
Buyer,Global,CHINA RESOURCES, 5.47 ,26,All
Buyer,Global,AMERICAN REALTY CAPI..., 5.21 ,391,All
Buyer,Global,HINES, 5.17 ,43,All
Buyer,Global,SUNAC CHINA, 5.07 ,22,All
Buyer,Global,CAISSE DE DEPOT, 4.93 ,70,All
Buyer,Global,SUN HUNG KAI, 4.85 ,7,All
Seller,Global,LEHMAN BROS HOLDINGS, 33.93 ,404,All
Seller,Global,BLACKSTONE, 14.01 ,175,All
Seller,Global,HK LANDS DEPT, 8.31 ,34,All
Seller,Global,COLE RE INVESTMENTS, 7.56 ,379,All
Seller,Global,GE CAPITAL, 7.35 ,278,All
Seller,Global,MORGAN STANLEY, 5.70 ,150,All
Seller,Global,FORTRESS, 5.29 ,197,All
Seller,Global,PRIMARIS REIT, 4.96 ,43,All
Seller,Global,HINES, 4.77 ,17,All
Seller,Global,DEUTSCHE ASSET/WEALT..., 4.71 ,38,All
Seller,Global,EQUITY RESIDENTIAL, 4.67 ,94,All
Seller,Global,PROLOGIS, 4.65 ,128,All
