title,author,pub
Lone survivor : the eyewitness account of Operation Redwing and the lost heroes of SEAL Team 10 /,"Luttrell, Marcus.; Robinson, Patrick,","New York : Little, Brown, 2007"
Horse soldiers : the extraordinary story of a band of U.S. soldiers who rode to victory in Afghanistan /,"Stanton, Doug.","New York : Scribner, 2009"
The unforgiving minute : a soldier's education /,"Mullaney, Craig M.","New York : Penguin, 2009"
One bullet away : the making of a Marine officer /,"Fick, Nathaniel.","Boston : Houghton Mifflin, 2005"
"Operation homecoming : Iraq, Afghanistan, and the Home Front, in the words of U.S. troops and their families /","Carroll, Andrew.","New York : Random House, 2006"
Into the fire : a first-hand account of the most extraordinary battle in the Afghan War /,"Meyer, Dakota, 1988-; West, Francis J.","New York : Random House, 2012"
Service : a Navy SEAL at war /,"Luttrell, Marcus.; Hornfischer, James D.","New York, NY : Little, Brown and Co., 2012"
A rope and a prayer : a kidnapping from two sides /,"Rohde, David, 1967-; Mulvihill, Kristen.","New York : Viking, 2010"
Operation dark heart : spycraft and special ops on the frontlines of Afghanistan-- and the path to victory /,"Shaffer, Anthony, 1962-","New York : Thomas Dunne Books, 2010"
The interrogators : inside the secret war against Al Qaeda /,"Mackey, Chris.; Miller, Greg,","New York : Little, Brown, 2004"
"Outlaw platoon : heroes, renegades, infidels, and the brotherhood of war in Afghanistan /","Parnell, Sean, 1981-; Bruning, John R.","New York, NY : William Morrow, 2012"
First in : an insider's account of how the CIA spearheaded the war on terror in Afghanistan /,"Schroen, Gary C.","New York : Presidio Press/Ballantine Books, 2005"
"Enemy combatant : my imprisonment at Guantnamo, Bagram, and Kandahar /","Begg, Moazzam.; Brittain, Victoria.","New York : New Press : Distributed by W.W. Norton & Company, 2006"
The operators : the wild and terrifying inside story of America's war in Afghanistan /,"Hastings, Michael, 1980-2013.","New York : Blue Rider Press, 2012"
"Long hard road : NCO experiences in Afghanistan and Iraq.    Publication:  Fort Bliss, Tex. : U.S. Army Sergeants Major Academy, 2007  Document:  English :  Book      Libraries Worldwide : 761   More Like This:  Advanced options ...   See more details for locating this item","Long hard road : NCO experiences in Afghanistan and Iraq.    Publication:  Fort Bliss, Tex. : U.S. Army Sergeants Major Academy, 2007  Document:  English :  Book      Libraries Worldwide : 761   More Like This:  Advanced options ...   See more details for locating this item","Fort Bliss, Tex. : U.S. Army Sergeants Major Academy, 2007"
A bed of red flowers : in search of my Afghanistan /,"Pazira, Nelofer.","New York : Free Press, 2005"
Living with honor /,"Giunta, Salvatore A. 1985-; Layden, Joe.","New York : Threshold Books, 2012"
The Junior Officers' Reading Club : killing time and fighting wars /,"Hennessey, Patrick, 1982-","New York : Riverhead Books,  2010, 2009"
American heroes in the fight against radical Islam /,"North, Oliver.; Holton, Chuck.","Nashville, Tenn : B & H Pub. Group, 2008"
One dog at a time : saving the strays of Afghanistan /,"Farthing, Pen.","New York : Thomas Dunne Books, 2010"
The red circle : my life in the Navy Seal Sniper Corps and how I trained America's deadliest marksmen /,"Webb, Brandon.; Mann, John David.","New York : St. Martin's Press, 2012"
Heroes among us : firsthand accounts of combat from America's most decorated warriors in Iraq and Afghanistan /,"Larson, Chuck.","New York, N.Y. : NAL Caliber, 2008"
Battle ready : memoir of a SEAL warrior medic /,"Donald, Mark L.; Mactavish, Scott.","New York : St. Martin's Press, 2013"
When Janey comes marching home : portraits of women combat veterans /,"Browder, Laura,; Pflaeging, Sascha.","Chapel Hill : University of North Carolina Press, 2010"
Apache : inside the cockpit of the world's most deadly fighting machine /,"Macy, Ed, Warrant Officer.","New York : Atlantic Monthly Press, 2008"
The blog of war : front-line dispatches from soldiers in Iraq and Afghanistan /,"Burden, Matthew Currier.","New York : Simon & Schuster Paperbacks, 2006"
Lions of Kandahar : the story of a fight against all odds /,"Bradley, Rusty.; Maurer, Kevin.","New York : Bantam Books, 2011"
"Enduring voices : oral histories of the U.S. Army experience in Afghanistan, 2003-2005 /","Koontz, Christopher N.","Washington, D.C. : Center of Military History, United States Army, 2008"
Saving Cinnamon : the amazing true story of a missing military puppy and the desperate mission to bring her home /,"Sullivan, Christine.","New York : St. Martin's Press, 2009"
Voices from the front : letters home from America's military family /,"Schaeffer, Frank.","New York : Carroll & Graf ; [Emeryville, CA] : Distributed by Publishers Group West, 2004"
"U.S. Marines in Afghanistan, 2001-2002 : from the sea /","Lowrey, Nathan S.","Washington, D.C. : United States Marine Corps, History Division, 2011"
"Greetings from Afghanistan, send more ammo : dispatches from Taliban country /","Tupper, Benjamin, 1969-","New York : NAL Caliber, 2010"
Blood makes the grass grow green : a year in the desert with team America /,"Rico, Johnny.","New York : Presidio Press : Ballantine Books, 2007"
Horse soldiers : the extraordinary story of a band of U.S. soldiers who rode to victory in Afghanistan /,"Stanton, Doug.","Detroit : Thorndike Press, 2009"
Back in the fight : the explosive memoir of a special operator who never gave up /,"Kapacziewski, Joseph, author.; Sasser, Charles W.,","New York : St. Martin's Press, 2013"
Days of fear : a firsthand account of captivity under the new Taliban /,"Mastrogiacomo, Daniele, 1954-","New York : Europa Editions, 2010"
Tell my sons : a father's last letters /,"Weber, Mark M.","New York : Ballantine Books, 2012"
The trident : the forging and reforging of a Navy SEAL leader /,"Redman, Jason, 1975-; Bruning, John R.","New York, NY : William Morrow, an imprint of HarperCollinsPublishers, 2013"
A nightmare's prayer : a Marine Corps Harrier pilot's war in Afghanistan /,"Franzak, Michael.","New York : Threshold Editions, 2010"
Afghanistan declassified : a guide to America's longest war /,"Williams, Brian Glyn.","University of Pennsylvania Press : Philadelphia, 2012"
Through veterans' eyes : the Iraq and Afghanistan experience /,"Minear, Larry, 1936-","Washington, D.C. : Potomac Books, 2010"
Nurses in war : voices from Iraq and Afghanistan /,"Scannell-Desch, Elizabeth.; Doherty, Mary Ellen.","New York : Springer, 2012"
The war I always wanted : the illusion of glory and the reality of war : a screaming eagle in Afghanistan and Iraq /,"Friedman, Brandon, 1978-","St. Paul, MN : Zenith Press, 2007"
"Your troops : their stories : hearing before the Committee on Armed Services, House of Representatives, One Hundred Ninth Congress, first session, hearing held, November 3, 2005.    Corp","United States., Congress., House., Committee on Armed Services.","Washington : U.S. G.P.O. : For sale by the Supt. of Docs., U.S. G.P.O., 2008"
"Blood, sweat and steel : frontline accounts from the Gulf, Afghanistan and Iraq, [1990-2010] /","Darman, Peter.","London : New Holland, 2010"
In contact! : case studies from the long war /,"Robertson, William Glenn,","Fort Leavenworth, Kan. : Combat Studies Institute Press,  2006-"
Lone survivor : the eyewitness account of Operation Redwing and the lost heroes of SEAL Team 10 /,"Luttrell, Marcus.; Robinson, Patrick,","New York : Back Bay Books,  2008, 2007"
Doonesbury.com's The sandbox : dispatches from troops in Iraq and Afghanistan /,"Stanford, David,; Trudeau, G. B.,","Kansas City, Mo. : Andrews McMeel Pub., 2007"
Two wars : one hero's fight on two fronts - - abroad and within /,"Self, Nate.","Carol Stream, Ill. : Tyndale House Publishers, 2008"
"Winter soldier, Iraq and Afghanistan : eyewitness accounts of the occupations /    Author:  Glantz, Aaron.; Rodriguez, Jared.  Corp",Iraq Veterans Against the War.,"Chicago : Haymarket Books, 2008"
"Hunting al Qaeda : a take-no-prisoners account of terror, adventure and disillusionment /","Mayer, Bob,","St. Paul, MN : Zenith Press, 2005"
Service : a Navy SEAL at war /,"Luttrell, Marcus.; Hornfischer, James D.","New York, N.Y .: Little, Brown and Co., 2012"
Spoken from the front /,"McNab, Andy.","London : Bantam, 2009"
Ground truth : 3 Para: return to Afghanistan /,"Bishop, Patrick","London : Harper Press, 2009"
Apache /,"Macy, Ed, Warrant Officer.; Newton Dunn, Tom.","London : HarperPress, 2008"
Lone survivor : the eyewitness account of Operation Redwing and the lost heroes of SEAL Team 10 /,"Luttrell, Marcus.; Robinson, Patrick,","New York : Little, Brown and Company, 2009"
Outside the wire : American soldiers' voices from Afghanistan /,"Leche, Christine Dumaine,","Charlottesville : University of Virginia Press, 2013"
One bullet away : the making of a Marine officer /,"Fick, Nathaniel.","Boston [Mass.] : Houghton Mifflin Co.,  2006, 2005"
The Junior Officers' Reading Club : killing time and fighting wars /,"Hennessey, Patrick, 1982-","London : Allen Lane, 2009"
War /,"Junger, Sebastian.","London : Fourth Estate, 2010"
The other war : winning and losing in Afghanistan /,"Neumann, Ronald E. 1944-","Washington, D.C. : Potomac Books, 2009"
Predator : the remote-control air war over Iraq and Afghanistan : a pilot's story /,"Martin, Matt J., 1972-; Sasser, Charles W.","Minneapolis, MN : Zenith Press, 2010"
Hellfire /,"Macy, Ed, Warrant Officer.","London : HarperPress, 2009"
One dog at a time : saving the strays of Helmand : an inspiring true story /,"Farthing, Pen.","[London] : Ebury Press, 2009"
An ordinary soldier : Afghanistan : a ferocious enemy : a bloody conflict : one man's impossible mission /,"Beattie, Doug.; Gomm, Philip.","London ; New York : Simon & Schuster, 2008"
"Task force Helmand : a soldier's story of life, death and combat on the Afghan front line /","Beattie, Doug, 1965-; Gomm, Philip.","London ; New York : Simon & Schuster, 2009"
The unforgiving minute : a soldier's education /,"Mullaney, Craig M.","New York : Penguin Books, 2010"
War comes to Garmser : thirty years of conflict on the Afghan frontier /,"Malkasian, Carter, 1975-","New York, NY : Oxford University Press, 2013"
Warrior police : rolling with America's military police in the world's trouble spots /,"Cucullu, Gordon.; Fontana, Chris.","New York : St. Martin's Press, 2011"
Ross Kemp on Afghanistan /,"Kemp, Ross, 1964-","London : Michael Joseph, 2009"
Horse soldiers : the extraordinary story of a band of U.S. soldiers who rode to victory in Afghanistan /,"Stanton, Doug.","Waterville, Me. : Large Print Press,  2010, 2009"
"Infernal triangle : conflict in Iraq, Afghanistan and the Levant ; eyewitness reports from the September 11 decade /","McGeough, Paul, 1954-","Crows Nest, N.S.W. : Allen & Unwin, 2011"
Last night another soldier-- /,"McNab, Andy.","London : Corgi, 2010"
Danger close : commanding 3 PARA in Afghanistan /,"Tootal, Stuart.","London : John Murray, 2009"
"We are soldiers : our heroes, their stories, real life on the frontline /","Danziger, Danny.","London : Sphere, 2010"
"American sniper : the autobiography of SEAL Chris Kyle, (USN 1999-2009), the most lethal sniper in U.S. military history /","Kyle, Chris, 1974-2013.; McEwen, Scott.; DeFelice, Jim,, and others","New York : HarperCollins, 2012"
Desperate glory : at war in Helmand with Britain's 16 Air Assault Brigade /,"Kiley, Sam.","London ; New York : Bloomsbury, 2009"
Long rifle : one man's deadly sniper missions in Iraq and Afghanistan /,"LeBleu, Joe.","Guilford, Conn. : Lyons Press, 2009"
