title,author,pub
"Nubs : the true story of a mutt, a marine & a miracle /","Dennis, Brian, 1971-; Larson, Kirby.; Nethery, Mary.","New York : Little, Brown, 2009"
In an instant : a family's journey of love and healing /,"Woodruff, Lee.; Woodruff, Bob,","New York : Random House, 2007"
"I am a soldier, too : the Jessica Lynch story /","Bragg, Rick.","New York : Alfred A. Knopf, 2003"
American sniper : the autobiography of the most lethal sniper in U.S. military history /,"Kyle, Chris, 1974-2013.; McEwen, Scott.; DeFelice, Jim,","New York : W. Morrow, 2012"
"From Baghdad, with love : a Marine, the war, and a dog named Lava /","Kopelman, Jay.; Roth, Melinda.","Guilford, Conn. : Lyons Press, 2006"
The long road home : a story of war and family /,"Raddatz, Martha.","New York : G. P. Putnam's Sons, 2007"
Will they ever trust us again? : letters from the war zone /,"Moore, Michael,","New York : Simon & Schuster, 2004"
Baghdad burning : girl blog from Iraq /,Riverbend.,"New York : Feminist Press at the City University of New York, 2005"
The last true story I'll ever tell : an accidental soldier's account of the War in Iraq /,"Crawford, John.","New York: Riverhead Books, 2005"
One bullet away : the making of a Marine officer /,"Fick, Nathaniel.","Boston : Houghton Mifflin, 2005"
"Generation kill : Devil Dogs, Iceman, Captain America, and the new face of American war /","Wright, Evan.","New York : G.P. Putnam's Sons, 2004"
"Joker One : a Marine platoon's story of courage, sacrifice, and brotherhood /","Campbell, Donovan.","New York : Random House, 2009"
"Operation homecoming : Iraq, Afghanistan, and the Home Front, in the words of U.S. troops and their families /","Carroll, Andrew.","New York : Random House, 2006"
Blood brothers : among the soldiers of Ward 57 /,"Weisskopf, Michael.","New York : H. Holt, 2006"
Ghosts of war : the true story of a 19-year-old GI /,"Smithson, Ryan.","New York, NY : Collins, 2009"
On call in hell : a doctor's Iraq War story /,"Jadick, Richard.; Hayden, Thomas","New York : NAL Caliber, 2007"
Shooter : the autobiography of the top-ranked Marine sniper /,"Coughlin, Jack, 1966-; Kuhlman, Casey.; Davis, Don,","New York : St. Martin's Press, 2005"
Service : a Navy SEAL at war /,"Luttrell, Marcus.; Hornfischer, James D.","New York, NY : Little, Brown and Co., 2012"
What was asked of us : an oral history of the Iraq War by the soldiers who fought it /,"Wood, Trish.","New York, N.Y. : Little, Brown and Co., 2006"
The prince of the marshes : and other occupational hazards of a year in Iraq /,"Stewart, Rory.","Orlando : Harcourt, Inc., 2006"
Thieves of Baghdad : one marine's passion for ancient civilizations and the journey to recover the world's greatest stolen treasures /,"Bogdanos, Matthew.; Patrick, William,","New York, NY : Bloomsbury Pub. : Distributed to the trade by Holtzbrinck Publishers, 2005"
Standard operating procedure /,"Gourevitch, Philip, 1961-; Morris, Errol.","New York : Penguin Press, 2008"
A journal for Jordan : a story of love and honor /,"Canedy, Dana.; King, Charles Monroe,","New York : Crown Publishers, 2008"
The long walk : a story of war and the life that follows /,"Castner, Brian.","New York : Doubleday, 2013"
The lonely soldier : the private war of women serving in Iraq /,"Benedict, Helen.","Boston : Beacon Press, 2009"
Baghdad at sunrise : a Brigade Commander's war in Iraq /,"Mansoor, Peter R., 1960-","New Haven : Yale University Press, 2008"
Waiting for an ordinary day : the unraveling of life in Iraq /,"Fassihi, Farnaz.","New York : PublicAffairs, 2008"
The deserter's tale : the story of an ordinary soldier who walked away from the war in Iraq /,"Key, Joshua.; Hill, Lawrence,","New York : Atlantic Monthly Press ; Berkeley, Calif. : Distributed by Publishers Group West, 2007"
