title,author,pub
A rumor of war /,"Caputo, Philip.","New York : Holt, Rinehart and Winston, 1977"
Everything we had : an oral history of the Vietnam War /,"Santoli, Al,","New York : Random House, 1981"
"Bloods, an oral history of the Vietnam War /","Terry, Wallace.","New York : Random House, 1984"
Dear America : letters home from Vietnam /,"Edelman, Bernard,","New York : Norton, 1985"
Chickenhawk /,"Mason, Robert, 1942-","New York : Viking Press, 1983"
Born on the Fourth of July /,"Kovic, Ron.","New York : McGraw-Hill, 1976"
A soldier reports /,"Westmoreland, William C. 1914-2005.","Garden City, N.Y. : Doubleday, 1976"
Home before morning : the story of an army nurse in Vietnam /,"Van Devanter, Lynda.; Morgan, Christopher.","New York : Beaufort Books, 1983"
Dispatches /,"Herr, Michael, 1940-","New York : Knopf, 1977"
Soldier,"Herbert, Anthony B.; Wooten, James T.","New York, Holt, Rinehart and Winston 1973"
"Viet Nam; the unheard voices,","Luce, Don.; Sommer, John,",Ithaca [N.Y.] Cornell University Press 1969
To bear any burden : the Vietnam War and its aftermath in the words of Americans and Southeast Asians /,"Santoli, Al, 1949-","New York : Dutton, 1985"
Nam : the Vietnam war in the words of the men and women who fought there /,"Baker, Mark, 1950-","New York : Morrow, 1981"
In love and war : the story of a family's ordeal and sacrifice during the Vietnam years /,"Stockdale, James B.; Stockdale, Sybil.","New York : Harper & Row, 1984"
Once a warrior king : memories of an officer in Vietnam /,"Donovan, David.","New York : McGraw-Hill, 1985"
A Vietcong memoir /,"Truong, Nhu Tang.; Chanoff, David.; Doan, Van Toai,","San Diego : Harcourt Brace Jovanovich, 1985"
Ten Vietnamese.,"Sheehan, Susan, 1937-","New York, Knopf, 1967"
Vietnam diary /,"Tregaskis, Richard, 1916-1973.","New York : Holt, Rinehart and Winston, 1963"
Forty days with the enemy.,"Dudman, Richard, 1918-","New York, Liveright 1971"
Lieutenant Calley: his own story,"Calley, William Laws, 1943-; Sack, John.","New York, Viking Press 1971"
Forty days with the enemy.,"Dudman, Richard, 1918-","New York, Liveright 1971"
"Peace with honor? : an American reports on Vietnam, 1973-1975 /","Herrington, Stuart A., 1941-","Novato, CA : Presidio Press, 1983"
Silence was a weapon : the Vietnam war in the villages : a personal perspective /,"Herrington, Stuart A., 1941-","Novato, CA : Presidio Press, 1982"
Survivors /,"Grant, Zalin.","New York : Norton, 1975"
The passing of the night: my seven years as a prisoner of the North Vietnamese.,"Risner, Robinson.","New York, Random House  1974, 1973"
"Brothers, black soldiers in the Nam /","Goff, Stanley.; Sanders, Robert.; Smith, Clark,","Novato, CA : Presidio Press ; London ; Arms & Armour Press, 1982"
Vietnam : inside story of the guerilla war /,"Burchett, Wilfred G., 1911-1983.","New York : International Publishers, 1965"
The new legions.,"Duncan, Don, 1930-","New York, Random House 1967"
"In the presence of mine enemies, 1965-1973; a prisoner of war","Rutledge, Howard.; Rutledge, Phyllis.; White, Mel,, and others","Old Tappan, N.J., Revell 1973"
Brennan's War : Vietnam 1965-69 /,"Brennan, Matthew, 1946-","Novato, CA : Presidio Press, 1985"
"Five years to freedom,","Rowe, James N., 1938-","Boston, Little, Brown 1971"
The war of the innocents.,"Flood, Charles Bracelen.","New York, McGraw-Hill 1970"
They wouldn't let us die: the prisoners of war tell their story /,"Rowan, Stephen A., 1928-","Middle Village, N.Y.: J. David Publishers, 1973"
For self and country : for the wounded in Vietnam the journey home took more courage than going into battle : a true story /,"Eilert, Rick.","New York : W. Morrow, 1983"
Conversations with Americans.,"Lane, Mark.","New York, Simon and Schuster 1970"
Platoon leader /,"McDonough, James R., 1946-","Novato, CA : Presidio, 1985"
When hell was in session /,"Denton, Jeremiah A.; Brandt, Ed,","New York : Readers Digest Press : distributed by Crowell, 1976"
If I die in a combat zone; box me up and ship me home.,"O'Brien, Tim, 1946-",[New York] Delacorte Press 1973
The winter soldier investigation; an inquiry into American war crimes.    Corp,Vietnam Veterans Against the War.,[Boston] Beacon Press 1972
--and a hard rain fell : a GI's true story of the war in Vietnam /,"Ketwig, John.","New York : Macmillan ; London : Collier Macmillan, 1985"
"The new soldier,","Kerry, John, 1943-","New York, Macmillan 1971"
Letters from Vietnam /,"Adler, Bill,","New York : E. P. Dutton & Co., Inc., 1967"
Conversations with Americans.,"Lane, Mark.","New York, Simon and Schuster 1970"
Our great spring victory : an account of the liberation of South Vietnam /,"Van, Tien Dung.","New York : Monthly Review Press, 1977"
To what end; report from Vietnam,"Just, Ward S.","Boston, Houghton Mifflin, 1968"
"12, 20 & 5; a doctor's year in Vietnam","Parrish, John A. 1939-","New York, E. P. Dutton, 1972"
"Casualties : death in Viet Nam, anguish and survival in America /","Brandon, Heather.","New York : St. Martin's Press, 1984"
The courageous and the proud :,"Vance, Samuel.","New York : W. W. Norton, 1970"
"Between two fires, the unheard voices of Vietnam.","Ly-qui-Chung,","New York, Praeger Publishers  1970, 1969"
Born on the Fourth of July /,"Kovic, Ron.","New York : Pocket Books,  1977, 1976"
"Death in the ricefields : an eyewitness account of Vietnam's three wars, 1945-1979 /","Scholl-Latour, Peter.","New York : St. Martin's Press,  1985, 1979"
"Don't cry, it's only thunder /","Hensler, Paul G., 1947-; Houston, Jeanne Wakatsuki.","Garden City, N.Y. : Doubleday, 1984"
Sensing the enemy /,"Borton, Lady.","Garden City, N.Y. : Dial, 1984"
GI diary.,"Parks, David, 1944-","New York, Harper & Row 1968"
Chickenhawk /,"Mason, Robert, 1942-","New York : Penguin Books,  1984, 1983"
"Bloods, an oral history of the Vietnam War /","Terry, Wallace.","New York : Ballantine,  1985, 1984"
Voices from the Plain of Jars; life under an air war.,"Branfman, Fred, comp.","New York, Harper & Row 1972"
"Vietnam, the other war /","Anderson, Charles Robert, 1943-","Novato, CA : Presidio Press, 1982"
I'm no hero;,"Plumb, Charlie.; DeWerff, Glen.","[Independence, Mo.] Independence Press 1973"
The flower of the dragon : the breakdown of the U.S. Army in Vietnam /,"Boyle, Richard","San Francisco : Ramparts Press, 1972"
The tainted war : culture and identity in Vietnam War narratives /,"Lewis, Lloyd B.","Westport, Conn. : Greenwood Press, 1985"
Those gallant men : on trial in Vietnam /,"Berry, John Stevens, 1938-","Novato, CA : Presidio, 1984"
P.O.W.: two years with the Vietcong,"Smith, George Edward, 1938-","Berkeley, Ramparts Press 1971"
The two shores of hell /,"Ray, Michle.","New York : David McKay Company, Inc. 1968"
"The village,","West, Francis J.","New York, Harper & Row 1972"
"Those who were there : eyewitness accounts of the war in Southeast Asia, 1956-1975 & aftermath : annotated bibliography of books, articles & topic-related magazines, covering writings both factual & imaginative /","Clifton, Merritt.","Paradise, CA : DustBooks, 1984"
We came to help /,"Schwinn, Monika, 1942-; Diehl, Bernhard,","New York : Harcourt Brace Jovanovich, 1976"
"Aces & aerial victories : the United States Air Force in Southeast Asia, 1965-1973 /","Hanak, Walter K., 1929- edt.; Futrell, Robert Frank.; Ravenstein, Charles A., and others","[Maxwell Air Force Base, Ala.] : Albert F. Simpson Historical Research Center, Air University ; Washington : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1976"
"Phantom over Vietnam : fighter pilot, USMC /","Trotti, John, 1936-","Novato, CA : Presidio Press, 1984"
The Hanoi commitment /,"Mulligan, James A. 1926-","Virginia Beach, Va. : RIF Marketing, 1981"
Code of honor /,"Dramesi, John A.","New York : Norton, 1975"
Before honor /,"McDaniel, Eugene B.; Johnson, James Leonard,","Philadelphia : A. J. Holman Co., 1975"
You can see a lot standing under a flare in the Republic of Vietnam; my year at war.,"Hughes, Larry, 1944-","New York, Morrow,  1969, 1970"
"The Easter offensive, Vietnam, 1972 /","Turley, G. H. 1931-","Novato, CA : Presidio Press, 1985"
On the other side; 23 days with the Viet Cong.,"Webb, Kate, 1943-2007.",[New York] Quadrangle Books 1972
Strong at the broken places : a personal story /,"Cleland, Max, 1942-","Lincoln, Va. : Chosen Books Pub. Co. ; Waco, Texas : Distributed by Word Books, 1980"
Young man in Vietnam.,"Coe, Charles.","New York, Four Winds Press 1968"
A rumor of war /,"Caputo, Philip.","New York : Ballantine Books,  1978, 1977"
Two of the missing : a reminiscence of some friends in the war /,"Young, Perry Deane.","New York : Coward, McCann & Geoghegan, 1975"
A hero's welcome : the conscience of Sergeant James Daly versus the United States Army /,"Daly, James A.; Bergman, Lee.","Indianapolis : Bobbs-Merrill, 1975"
Prisoner of war : six years in Hanoi /,"McGrath, John M.","Annapolis, Md. : Naval Institute Press, 1975"
Up front in Vietnam,"Reed, David","New York, Funk & Wagnalls 1967"
Captured! /,"Miller, Carolyn Paine.","Chappaqua, N.Y. : Christian Herald Books, 1977"
"Nothing, and so be it.","Fallaci, Oriana.","Garden City, N.Y., Doubleday, 1972"
Nam : the Vietnam war in the words of the men and women who fought there /,"Baker, Mark, 1950-","New York : Quill,  1982, 1981"
When hell was in session /,"Denton, Jeremiah A.; Brandt, Ed.","Mobile, Al. : Reprinted by Traditional Press,  1982, ?"
Born on the Fourth of July /,"Kovic, Ron.","New York : Pocket Books, 1977"
Dust of life /,"Thomas, Liz.","New York : Dutton, 1978"
Happy hunting ground.,"Russ, Martin, 1931-2010.","New York, Atheneum, 1968"
The doom pussy.,"Shepard, Elaine.","New York, Trident Press, 1967"
"Memphis, Nam, Sweden; the autobiography of a Black American exile,","Whitmore, Terry.; Weber, Richard P.","Garden City, N.Y., Doubleday, 1971"
"The letters of Pfc. Richard E. Marks, USMC.","Marks, Richard E., 1946-1966.","Philadelphia, Lippincott 1967"
Everything we had : an oral history of the Vietnam War /,"Santoli, Al,","New York : Ballantine Books,  1982, 1981"
Tell it to the dead : memories of a war /,"Kirk, Donald, 1938-","Chicago : Nelson-Hall, 1975"
GI diary /,"Parks, David, 1944-","Washington, D.C. : Howard University Press, 1984"
Vietnam-Perkasie : a combat marine memoir /,"Ehrhart, W. D. 1948-","Jefferson, N.C. : McFarland, 1983"
Home before morning : the story of an army nurse in Vietnam /,"Van Devanter, Lynda.; Morgan, Christopher.","New York, N.Y. : Warner Books,  1984, 1983"
Eye in the last storm; a reporter's journal of one year in Southeast Asia.,"Willwerth, James.","New York, Grossman Publishers, 1972"
The last day /,"Pilger, John.","New York : Vintage Books,  1976, 1975"
Dispatches /,"Herr, Michael.","London : Pan Books, 1978"
Dispatches /,"Herr, Michael.","London : Pan Books, 1978"
Dispatches /,"Herr, Michael.","New York : Avon, 1978"
Five years to freedom /,"Rowe, James N., 1938-","New York : Ballantine Books,  1984, 1971"
"The heart of a man,","Elkins, Frank Callihan, 1939-1966.; Elkins, Marilyn Roberson","New York, Norton 1973"
