title,author,pub
"Berlin diary : the journal of a foreign correspondent, 1934-1941 /","Shirer, William L. 1904-1993.","New York, N.Y. : A.A. Knopf, 1941"
A soldier's story.,"Bradley, Omar Nelson, 1893-1981.","New York, Holt 1951"
"My three years with Eisenhower : the personal diary of Captain Harry C. Butcher, USNR, naval aide to General Eisenhower, 1942 to 1945.","Butcher, Harry C. 1901-","New York, N.Y. : Simon and Schuster, 1946"
"Guadalcanal diary,","Tregaskis, Richard, 1916-1973.","New York, Random house 1943"
Three came home /,"Keith, Agnes (Newton)","Boston : Little, Brown and Co., 1947"
They were expendable,"White, William Lindsay, 1900-1973.","New York, Harcourt, Brace and Co. 1942"
"Failure of a mission; Berlin 1937-1939,","Henderson, Nevile, Sir, 1882-1942.","New York, G.P. Putnam's Sons 1940"
Here is your war /,"Pyle, Ernie, 1900-1945.","New York, N.Y. : H. Holt and Co. 1943"
One world /,"Willkie, Wendell L. 1892-1944.","New York, N.Y. : Simon and Schuster, 1943"
Brave men /,"Pyle, Ernie, 1900-1945.","New York : H. Holt and Co., 1944"
The man who never was.,"Montagu, Ewen, 1901-1985.","Philadelphia, Lippincott,  1954, 1953"
"People on our side,","Snow, Edgar, 1905-1972.","New York, Random house 1944"
"Seven came through; Rickenbacker's full story,","Rickenbacker, Eddie, 1890-1973.","Garden City, N.Y., Doubleday, Doran, 1943"
... Journey among warriors.,"Curie, Eve, 1904-2007.","Garden City, New York, Doubleday, Doran and co., inc., 1943"
War as I knew it /,"Patton, George S. 1885-1945.; Harkins, Paul D.; Patton, Beatrice Banning Ayer,","Boston : Houghton Mifflin Co., 1947"
Thirty seconds over Tokyo.,"Lawson, Ted W., 1917-1992.; Considine, Bob.","New York, Random House 1953"
The Stilwell papers /,"Stilwell, Joseph Warren, 1883-1946.; White, Theodore H.","New York : W. Sloane, 1948"
"Paris-underground,","Shiber, Etta.; Dupre, Anne,; Dupre, Paul,","New York, C. Scribner's Sons, 1943"
"Thirty seconds over Tokyo,","Lawson, Ted W., 1917-1992.; Considine, Robert,","New York, Random House 1943"
The diary of a young girl /,"Frank, Anne, 1929-1945.; Mooyaart-Doubleday, B. M.; Roosevelt, Eleanor,","New York : Modern Library, 1952"
Story of a secret state /,"Karski, Jan, 1914-2000.","Boston : Houghton Mifflin Co., 1944"
We die alone /,"Howarth, David Armine, 1912-1991.","New York : Macmillan, 1955"
Last chapter,"Pyle, Ernie, 1900-1945.","New York, H. Holt and Co. 1946"
Flight to Arras /,"Saint-Exupry, Antoine de, 1900-1944.; Galantire, Lewis,; Lamotte, Bernard,","New York : Reynal & Hitchcock, 1942"
End of a Berlin diary.,"Shirer, William L. 1904-1993.","New York, N.Y. : A. A. Knopf, 1947"
"The battle is the pay-off,","Ingersoll, Ralph, 1900-1985.","New York, Harcourt, Brace and Company 1943"
Suez to Singapore /,"Brown, Cecil, 1907-1987.","New York, N.Y. : Random House, 1942"
Not so wild a dream,"Sevareid, Eric, 1912-1992.","New York, A.A. Knopf, 1946"
Into the valley; a skirmish of the marines,"Hersey, John, 1914-1993.","New York, A.A. Knopf, 1943"
Brave men.,"Pyle, Ernie, 1900-1945.","New York, H. Holt and Co. 1944"
"I was there; the personal story of the Chief of Staff to Presidents Roosevelt and Truman, based on his notes and diaries made at the time.","Leahy, William D.","New York, Whittlesey House 1950"
Burma surgeon returns /,"Seagrave, Gordon Stifler, 1897-1965.","New York : W. W. Norton & Company, Inc., 1946"
The curtain rises.,"Reynolds, Quentin James, 1902-1965.","New York, Random House 1944"
Between the thunder and the sun.,"Sheean, Vincent, 1899-1975.","New York, Random House 1943"
Comes the comrade! /,"Orme, Alexandra.","New York : Morrow,  1950, 1949"
From the land of silent people,"St. John, Robert, 1902-2003.","Garden City, N.Y., Doubleday, Doran & co., inc., 1942"
Top secret,"Ingersoll, Ralph, 1900-1985.","New York, Harcourt, Brace and company 1946"
D day,"Gunther, John, 1901-1970.","New York, London, Harper & Bros. 1944"
Guadalcanal diary.,"Tregaskis, Richard, 1916-1973.","New York, Random House 1955"
"Return to the future,","Undset, Sigrid, 1882-1949.; Naeseth, Henriette C. K.","New York, A.A. Knopf, 1942"
Calculated risk.,"Clark, Mark W. 1896-1984.","New York, Harper 1950"
The great escape.,"Brickhill, Paul.","New York, Norton, 1950"
Wars I have seen /,"Stein, Gertrude, 1874-1946.","New York : Random House, 1945"
